자주,성찰,날짜
자주적인 삶의 의미와 중요성을 알고 습관화하기 위해서 계획을 세우고 꾸준히 실천하고자 노력함.,자신의 평소 행동을 돌아보고 이전보다 긍정적인 말과 행동을 할 것을 다짐하고 실제 행동으로 내재화시키기 위해 노력함.,2024-06-12
자주적인 생활의 의미를 알아보고 꾸준히 직접 실천해보며 중요성을 깨달아 습관화하고자 노력함.,자신을 돌아보고 올바른 내가 되기 위한 구체적인 방법을 생각하고 실천하면서 올바른 삶의 수준을 성장시키고자 노력함.,2024-06-19
자주성을 성장시키고 실현하기 위해 혼자서 꾸준히 해낼 수 있는 일을 찾아 활동을 계획하고 꾸준히 실천함.,올바른 삶을 살고자 노력한 다양한 사례를 살펴보고 본인의 삶과 비교하여 생각해본 후 구체적인 방법을 찾아 실천하며 올바른 삶을 습관화하는 것에 힘씀.,2024-06-26
스스로 해낼 수 있는 일을 찾아 꾸준히 실천하며 습관화하여 자주성을 성장시키고자 노력함.,바르게 사는 것의 장점과 가치를 다양한 사례를 읽고 느낀 후 올바른 삶을 살 것을 약속하고 구체적인 행동 방법을 찾아 꾸준히 실천함.,2024-06-26
생활 속 사례를 살펴보며 자주적인 삶의 의미와 가치를 느낀 후 실제 생활에서 스스로 자주성을 실현하고자 노력함.,여러 사례에서 올바른 삶과 그렇지 않은 경우를 비교해보고 올바른 삶의 중요성을 느끼고 생활 속에서 실천할 수 있는 방법을 찾아 실제 행동하는 것에 힘씀.,2024-06-26
실생활 사례를 보고 자주적인 삶을 모델링한 후 스스로 자주성을 습관화하기 위해 계획하고 실천함.,도덕적으로 올바른 삶이 지닌 영향력과 가치를 생각해보고 성찰하며 생활 속에서 올바르게 행동할 것을 다짐한 후 실천함.,
생활 계획을 세우고 스스로 꾸준하게 실천하면서 자주성을 실현하며 습관화하고자 노력함.,올바른 삶이 무엇인지 다양한 사례로 알아보고 비슷한 상황에 처했을 때 올바르게 생각하고 행동할 것을 다짐하고 꾸준히 실천함.,
자신이 할 수 있는 일을 찾아 생활 계획을 세우고 실천하면서 자주성을 학습하고 체화함.,올바르게 사는 것의 의미와 중요성을 알아보고 본인의 행동을 성찰한 후 더 올바른 방법에 대해 구체적으로 생각하고 꾸준히 실천함.,
스스로 세운 생활 계획을 실천하면서 자주성을 학습하고 가치를 깨달으며 자주적인 삶을 실천함.,자신을 돌아볼 수 있는 다양한 방법을 통해 말과 행동을 성찰하고 더 올바른 방법을 구체적으로 찾아본 후 실생활에서 실천함.,
자주적인 인간이 되기 위해 삶을 계획하고 스스로의 힘으로 일을 해나가는 노력을 꾸준히 함.,올바른 삶이 본인과 타인에게 줄 수 있는 긍정적인 영향의 가치를 느끼고 삶의 다양한 문제 상황에서 올바르게 말하고 행동할 수 있는 방법을 찾아 실천함.,
자주적인 삶을 체화하기 위해 생활 속에서 실천할 활동을 정하고 실천하면서 스스로를 점검함.,본인이 실천할 수 있는 성찰 방법을 선택하고 꾸준히 성찰하면서 자신의 생활이 수준 높은 올바른 삶으로 가꿔지도록 행동하는 것에 힘씀.,
실생활에서 실천할 행동을 정하고 실천 및 반성하며 자주적인 삶을 살 수 있는 능력을 성장시킴.,올바른 삶을 살아가기 위해 꾸준히 성찰하고 더 올바르게 행동하는 방법을 찾아 실천하는 것에 힘씀.,
